center,left,right,steering,throttle,brake,speed
IMG/center_2026_08_30_19_24_06_727.jpg,IMG/left_2026_08_30_19_24_06_727.jpg,IMG/right_2026_08_30_19_24_06_727.jpg,0.0,0.0,0.0,7.790991e-05
IMG/center_2026_08_30_19_24_06_830.jpg,IMG/left_2026_08_30_19_24_06_830.jpg,IMG/right_2026_08_30_19_24_06_830.jpg,0.0,0.0,0.0,7.895595e-05
IMG/center_2026_08_30_19_24_06_932.jpg,IMG/left_2026_08_30_19_24_06_932.jpg,IMG/right_2026_08_30_19_24_06_932.jpg,0.0,0.0,0.0,7.791785e-05
IMG/center_2026_08_30_19_24_07_038.jpg,IMG/left_2026_08_30_19_24_07_038.jpg,IMG/right_2026_08_30_19_24_07_038.jpg,0.0,0.0,0.0,7.793857e-05
IMG/center_2026_08_30_19_24_07_138.jpg,IMG/left_2026_08_30_19_24_07_138.jpg,IMG/right_2026_08_30_19_24_07_138.jpg,0.0,0.0,0.0,7.81741e-05
IMG/center_2026_08_30_19_24_07_238.jpg,IMG/left_2026_08_30_19_24_07_238.jpg,IMG/right_2026_08_30_19_24_07_238.jpg,0.0,0.0,0.0,7.837004e-05
IMG/center_2026_08_30_19_24_07_342.jpg,IMG/left_2026_08_30_19_24_07_342.jpg,IMG/right_2026_08_30_19_24_07_342.jpg,0.0,0.0,0.0,7.83373e-05
IMG/center_2026_08_30_19_24_07_446.jpg,IMG/left_2026_08_30_19_24_07_446.jpg,IMG/right_2026_08_30_19_24_07_446.jpg,0.0,0.0,0.0,7.7963e-05
IMG/center_2026_08_30_19_24_07_549.jpg,IMG/left_2026_08_30_19_24_07_549.jpg,IMG/right_2026_08_30_19_24_07_549.jpg,0.0,0.0,0.0,7.799762e-05
IMG/center_2026_08_30_19_24_07_652.jpg,IMG/left_2026_08_30_19_24_07_652.jpg,IMG/right_2026_08_30_19_24_07_652.jpg,0.0,0.0,0.0,7.809667e-05
IMG/center_2026_08_30_19_24_07_752.jpg,IMG/left_2026_08_30_19_24_07_752.jpg,IMG/right_2026_08_30_19_24_07_752.jpg,0.0,0.0,0.0,7.969719e-05
IMG/center_2026_08_30_19_24_07_852.jpg,IMG/left_2026_08_30_19_24_07_852.jpg,IMG/right_2026_08_30_19_24_07_852.jpg,0.0,0.0,0.0,7.836665e-05
IMG/center_2026_08_30_19_24_07_953.jpg,IMG/left_2026_08_30_19_24_07_953.jpg,IMG/right_2026_08_30_19_24_07_953.jpg,0.0,0.0,0.0,7.849811e-05
IMG/center_2026_08_30_19_24_08_055.jpg,IMG/left_2026_08_30_19_24_08_055.jpg,IMG/right_2026_08_30_19_24_08_055.jpg,0.0,0.0,0.0,7.786514e-05
IMG/center_2026_08_30_19_24_08_158.jpg,IMG/left_2026_08_30_19_24_08_158.jpg,IMG/right_2026_08_30_19_24_08_158.jpg,0.0,0.0,0.0,8.043848e-05
IMG/center_2026_08_30_19_24_08_259.jpg,IMG/left_2026_08_30_19_24_08_259.jpg,IMG/right_2026_08_30_19_24_08_259.jpg,0.0,0.0,0.0,7.812677e-05
IMG/center_2026_08_30_19_24_08_361.jpg,IMG/left_2026_08_30_19_24_08_361.jpg,IMG/right_2026_08_30_19_24_08_361.jpg,0.0,0.0,0.0,7.817706e-05
IMG/center_2026_08_30_19_24_08_462.jpg,IMG/left_2026_08_30_19_24_08_462.jpg,IMG/right_2026_08_30_19_24_08_462.jpg,0.0,0.0,0.0,7.809743e-05
IMG/center_2026_08_30_19_24_08_562.jpg,IMG/left_2026_08_30_19_24_08_562.jpg,IMG/right_2026_08_30_19_24_08_562.jpg,0.0,0.0,0.0,7.799209e-05
IMG/center_2026_08_30_19_24_08_666.jpg,IMG/left_2026_08_30_19_24_08_666.jpg,IMG/right_2026_08_30_19_24_08_666.jpg,-0.106029,0.106029,0.0,0.06072003
IMG/center_2026_08_30_19_24_08_768.jpg,IMG/left_2026_08_30_19_24_08_768.jpg,IMG/right_2026_08_30_19_24_08_768.jpg,-0.4100438,0.4100438,0.0,0.3586587
IMG/center_2026_08_30_19_24_08_873.jpg,IMG/left_2026_08_30_19_24_08_873.jpg,IMG/right_2026_08_30_19_24_08_873.jpg,-0.7677256,0.7677256,0.0,1.171025
IMG/center_2026_08_30_19_24_08_976.jpg,IMG/left_2026_08_30_19_24_08_976.jpg,IMG/right_2026_08_30_19_24_08_976.jpg,-0.5455207,1.0,0.0,2.252709
IMG/center_2026_08_30_19_24_09_080.jpg,IMG/left_2026_08_30_19_24_09_080.jpg,IMG/right_2026_08_30_19_24_09_080.jpg,-0.2397504,1.0,0.0,3.433948
IMG/center_2026_08_30_19_24_09_182.jpg,IMG/left_2026_08_30_19_24_09_182.jpg,IMG/right_2026_08_30_19_24_09_182.jpg,-0.5328178,1.0,0.0,4.584927
IMG/center_2026_08_30_19_24_09_287.jpg,IMG/left_2026_08_30_19_24_09_287.jpg,IMG/right_2026_08_30_19_24_09_287.jpg,-0.6859287,1.0,0.0,5.691286
IMG/center_2026_08_30_19_24_09_389.jpg,IMG/left_2026_08_30_19_24_09_389.jpg,IMG/right_2026_08_30_19_24_09_389.jpg,-0.3855118,1.0,0.0,6.849607
IMG/center_2026_08_30_19_24_09_495.jpg,IMG/left_2026_08_30_19_24_09_495.jpg,IMG/right_2026_08_30_19_24_09_495.jpg,-0.4580067,1.0,0.0,8.202139
IMG/center_2026_08_30_19_24_09_598.jpg,IMG/left_2026_08_30_19_24_09_598.jpg,IMG/right_2026_08_30_19_24_09_598.jpg,-0.1629474,1.0,0.0,9.331925
IMG/center_2026_08_30_19_24_09_699.jpg,IMG/left_2026_08_30_19_24_09_699.jpg,IMG/right_2026_08_30_19_24_09_699.jpg,0.0,1.0,0.0,10.43583
IMG/center_2026_08_30_19_24_09_801.jpg,IMG/left_2026_08_30_19_24_09_801.jpg,IMG/right_2026_08_30_19_24_09_801.jpg,-0.2032269,1.0,0.0,11.62819
IMG/center_2026_08_30_19_24_09_904.jpg,IMG/left_2026_08_30_19_24_09_904.jpg,IMG/right_2026_08_30_19_24_09_904.jpg,-0.1961532,1.0,0.0,12.38469
